Name,Subtotal,Shipping,Taxes,Total,Created at,Billing City,Billing Zip,Billing Province,Billing Country
#1889,69.95,14.45,7.67,84.4,2016-12-06 20:29:39 +1100,Everton Hills,'4053,QLD,AU
#1048,29.99,7.5,3.41,37.49,2014-12-11 21:35:39 +1100,Everton Hills,'4053,QLD,AU
#1931,29.99,16.65,4.24,46.64,2016-12-11 23:41:17 +1100,Brisbane,'4054,QLD,AU
#1302,53.45,16.25,6.34,69.7,2015-11-27 12:24:36 +1100,Brisbane,'4054,QLD,AU
#1949,16.98,8,2.27,24.98,2016-12-13 13:19:32 +1100,Red Hill,'4059,QLD,AU
#1329,20.55,10.3,2.8,30.85,2015-12-05 12:03:12 +1100,Ashgrove,'4060,QLD,AU
#1264,34.74,13.05,4.34,47.79,2015-11-07 14:01:21 +1100, Brisbane ,'4068,QLD,AU
#1521,27.4,10.3,3.43,37.7,2016-06-27 20:03:07 +1000,Kenmore,'4069,QLD,AU
#1326,40.77,14.45,5.02,55.22,2015-12-04 19:52:51 +1100,Kenmore,'4069,QLD,AU
#1783,22.98,13.05,3.28,36.03,2016-11-19 11:56:09 +1100,Brisbane,'4074,QLD,AU
#1760,23.49,14.45,3.45,37.94,2016-11-12 15:02:01 +1100,Brisbane,'4074,QLD,AU
#1632,102.29,14.45,10.61,116.74,2016-09-05 20:46:37 +1000,Middle Park ,'4074,QLD,AU
#1880,47.96,13.05,5.55,61.01,2016-12-05 21:39:08 +1100,Oxley,'4075,QLD,AU
#1540,163.64,34,17.97,197.64,2016-07-14 15:47:38 +1000,Sherwood,'4075,QLD,AU
#1402,25.99,13.05,3.55,39.04,2016-01-10 18:06:16 +1100,Forest Lake,'4078,QLD,AU
#1762,53.88,8,5.63,61.88,2016-11-13 23:37:11 +1100,Sunshine,'4088,VIC,AU
#1573,143.5,16.65,14.56,160.15,2016-08-07 02:13:36 +1000,Brisbane,'4102,QLD,AU
#1064,59.89,11.75,6.51,71.64,2015-01-15 12:47:12 +1100,Brisbane,'4103,QLD,AU
#1069,11.95,14.8,2.43,26.75,2015-01-20 22:01:47 +1100,Brisbane,'4105,QLD,AU
#1515,112.13,16.65,11.71,128.78,2016-06-22 21:00:48 +1000,Brisbane,'4112,QLD,AU
#1323,38.94,23.15,5.64,62.09,2015-12-04 09:19:58 +1100,Brisbane,'4112,QLD,AU
#1642,87.93,34,11.08,121.93,2016-09-10 12:04:32 +1000,ALGESTER ,'4115,QLD,AU
